         4007 function calls (3931 primitive calls) in 0.795 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
       70    0.000    0.000    0.000    0.000 D:\Programs\Anaconda3\Lib\re\_parser.py:239(__next)
       30    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
       10    0.000    0.000    0.000    0.000 D:\Programs\Anaconda3\Lib\multiprocessing\context.py:366(get_spawning_popen)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
        1    0.000    0.000    0.000    0.000 D:\Programs\Anaconda3\Lib\weakref.py:104(__init__)
       30    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
       25    0.000    0.000    0.000    0.000 D:\Programs\Anaconda3\Lib\multiprocessing\popen_spawn_win32.py:71(<genexpr>)
        2    0.000    0.000    0.000    0.000 D:\Programs\Anaconda3\Lib\re\_parser.py:97(closegroup)
       38    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       29    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.000    0.000 D:\Programs\Anaconda3\Lib\copyreg.py:107(_slotnames)
       27    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
        6    0.000    0.000    0.000    0.000 {built-in method nt._path_normpath}
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
       10    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.000    0.000 {built-in method nt._getfullpathname}
       44    0.000    0.000    0.000    0.000 D:\Programs\Anaconda3\Lib\re\_parser.py:255(match)
       17    0.000    0.000    0.000    0.000 D:\Programs\Anaconda3\Lib\multiprocessing\process.py:99(_check_closed)
        6    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        2    0.000    0.000    0.000    0.000 D:\Programs\Anaconda3\Lib\re\_parser.py:371(_escape)
